% [Description]
% EMI Scan QP

% [Header]
% Detector Mode=QP
% Dwell Time=0.2s
% Attenuation Level=AutodB
% Frequency Unit=Hz
% OverRange Flag=0
% Amplitude Unit=dB /m
% IF Filter=120kHz
% Scan=Scan1
% RF Port=RF1
% Transducer1=FP17_N4to6_LMR400_2_5m_Flex
% Transducer2=CB3-FP16-N5
% Transducer3=CB3_AP9_N5_to_FP17_N
% Transducer4=CB3_AP9_N5_LMR400
% Transducer5=N5
% Transducer6=20240926_cable_N_N_10m_AntennaCable_Blue_FTB_B
% Transducer7=Schwarzbeck VULB 9162 with Broadband TRILOG Antenna FTB-B  7GHz
% Transducer8=Attenuator 6dB

% [Data: f, Magnitude original, Magnitude with Transducer]
55195312.500  21.033 39.826
55244140.625  23.670 42.450
55292968.750  21.925 40.704
55341796.875  20.935 39.713
55390625.000  23.742 42.514
55439453.125  22.047 40.808
55488281.250  21.148 39.901
55537109.375  23.555 42.294
55585937.500  22.110 40.833
55634765.625  20.978 39.705
55683593.750  23.690 42.419
55732421.875  22.129 40.854
55781250.000  21.025 39.744
55830078.125  23.500 42.203
55878906.250  22.014 40.718
55927734.375  21.165 39.864
55976562.500  23.581 42.265
56025390.625  22.018 40.697
56074218.750  21.121 39.794
56123046.875  23.643 42.308
56171875.000  22.032 40.691
56220703.125  21.030 39.686
56269531.250  23.679 42.328
56318359.375  21.980 40.620
56367187.500  21.167 39.799
56416015.625  23.626 42.246
56464843.750  22.105 40.717
56513671.875  21.107 39.715
56562500.000  23.553 42.159
56611328.125  21.911 40.506
56660156.250  21.135 39.722
56708984.375  23.786 42.369
56757812.500  22.032 40.611
56806640.625  20.907 39.475
56855468.750  23.734 42.286
56904296.875  21.995 40.546
56953125.000  21.069 39.615
57001953.125  23.697 42.237
57050781.250  22.060 40.590
57099609.375  20.985 39.505
57148437.500  23.759 42.269
57197265.625  22.131 40.632
57246093.750  21.180 39.681
57294921.875  23.561 42.055
57343750.000  21.928 40.416
57392578.125  21.213 39.695
57441406.250  23.585 42.065
57490234.375  22.045 40.509
57539062.500  21.166 39.614
57587890.625  23.744 42.184
57636718.750  22.137 40.571
57685546.875  21.061 39.494
57734375.000  23.753 42.182
57783203.125  22.059 40.475
57832031.250  21.152 39.561
57880859.375  23.696 42.096
57929687.500  22.071 40.453
57978515.625  21.027 39.401
58027343.750  23.910 42.275
58076171.875  22.157 40.512
58125000.000  21.168 39.516
58173828.125  23.887 42.223
58222656.250  22.017 40.339
58271484.375  21.316 39.627
58320312.500  23.793 42.101
58369140.625  22.211 40.516
58417968.750  21.243 39.542
58466796.875  23.627 41.929
58515625.000  22.229 40.524
58564453.125  21.255 39.535
58613281.250  23.610 41.873
