freq_mhz,Ambient (22 May)_dbuvm,4SLF OFF — Standby_dbuvm,delta_db,comparison,Full system ON — Standby_dbuvm
35.37109375,23.000425094393247,24.021425094393248,1.0210000000000008,4SLF OFF — Standby,
35.419921875,23.25542509439325,23.881425094393247,0.6259999999999977,4SLF OFF — Standby,
35.46875,24.509425094393247,24.186425094393247,-0.3230000000000004,4SLF OFF — Standby,
35.517578125,23.040425094393246,23.93442509439325,0.8940000000000055,4SLF OFF — Standby,
35.56640625,23.18242509439325,24.269425094393245,1.0869999999999962,4SLF OFF — Standby,
35.615234375,24.585425094393248,23.53542509439325,-1.0499999999999972,4SLF OFF — Standby,
35.6640625,23.235425094393246,23.064425094393247,-0.17099999999999937,4SLF OFF — Standby,
35.712890625,22.31642509439325,22.62442509439325,0.30799999999999983,4SLF OFF — Standby,
35.76171875,24.732425094393246,22.80642509439325,-1.9259999999999948,4SLF OFF — Standby,
35.810546875,23.262425094393247,22.287425094393246,-0.9750000000000014,4SLF OFF — Standby,
35.859375,22.02342509439325,21.772425094393245,-0.2510000000000048,4SLF OFF — Standby,
35.908203125,24.643425094393248,22.36442509439325,-2.2789999999999964,4SLF OFF — Standby,
35.95703125,23.030425094393248,21.74242509439325,-1.2879999999999967,4SLF OFF — Standby,
36.005859375,22.02642509439325,21.635425094393252,-0.39099999999999824,4SLF OFF — Standby,
36.0546875,24.604425094393246,22.220425094393246,-2.3840000000000003,4SLF OFF — Standby,
36.103515625,23.11142509439325,21.54842509439325,-1.5630000000000024,4SLF OFF — Standby,
36.15234375,22.01142509439325,21.52542509439325,-0.48600000000000065,4SLF OFF — Standby,
36.201171875,24.597425094393248,21.35942509439325,-3.2379999999999995,4SLF OFF — Standby,
36.25,22.98142509439325,21.45842509439325,-1.5229999999999997,4SLF OFF — Standby,
36.298828125,22.049425094393246,21.26942509439325,-0.7799999999999976,4SLF OFF — Standby,
36.34765625,24.677425094393246,21.29342509439325,-3.383999999999997,4SLF OFF — Standby,
36.396484375,22.960425094393248,21.480425094393247,-1.4800000000000004,4SLF OFF — Standby,
36.4453125,21.882425094393252,21.11842509439325,-0.7640000000000029,4SLF OFF — Standby,
36.494140625,24.759425094393247,21.47942509439325,-3.2799999999999976,4SLF OFF — Standby,
36.54296875,23.04742509439325,21.40342509439325,-1.644000000000002,4SLF OFF — Standby,
36.591796875,22.104425094393246,21.55642509439325,-0.5479999999999947,4SLF OFF — Standby,
36.640625,24.67242509439325,21.67642509439325,-2.996000000000002,4SLF OFF — Standby,
36.689453125,23.03842509439325,21.49942509439325,-1.5390000000000015,4SLF OFF — Standby,
36.73828125,22.257425094393252,21.86242509439325,-0.3950000000000031,4SLF OFF — Standby,
36.787109375,24.69042509439325,21.656425094393246,-3.034000000000006,4SLF OFF — Standby,
36.8359375,23.24242509439325,22.14542509439325,-1.0970000000000013,4SLF OFF — Standby,
36.884765625,22.186425094393247,22.11242509439325,-0.07399999999999807,4SLF OFF — Standby,
36.93359375,24.945425094393247,22.232425094393246,-2.713000000000001,4SLF OFF — Standby,
36.982421875,23.333425094393245,22.35242509439325,-0.9809999999999945,4SLF OFF — Standby,
37.03125,22.293425094393246,21.969425094393248,-0.32399999999999807,4SLF OFF — Standby,
37.080078125,25.003425094393247,22.41442509439325,-2.5889999999999986,4SLF OFF — Standby,
37.12890625,23.287425094393246,22.35842509439325,-0.9289999999999949,4SLF OFF — Standby,
37.177734375,22.579425094393248,22.48142509439325,-0.09799999999999898,4SLF OFF — Standby,
37.2265625,24.949425094393245,22.335425094393248,-2.613999999999997,4SLF OFF — Standby,
37.275390625,23.327425094393245,22.287425094393246,-1.0399999999999991,4SLF OFF — Standby,
37.32421875,22.430425094393247,22.470425094393246,0.03999999999999915,4SLF OFF — Standby,
37.373046875,24.92842509439325,22.317425094393247,-2.611000000000004,4SLF OFF — Standby,
37.421875,23.30742509439325,22.884425094393247,-0.4230000000000018,4SLF OFF — Standby,
